,normal,ecg_duration,number_of_beats,mean_qrs_amplitude,standard_deviation_qrs_amplitude,mean_t_amplitude,standard_deviation_t_amplitude,mean_p_amplitude,standard_deviation_p_amplitude,mean_rr_interval,standard_deviation_rr_interval,mean_pr_interval,standard_deviation_pr_interval,mean_qt_interval,standard_deviation_qt_interval,mean_pr_segment,standard_deviation_pr_segment,mean_st_deviation,standard_deviation_st_deviation,mean_heart_rate,standard_deviation_heart_rate
0,0,60.0,102,-0.3922,0.9244,-0.2083,0.9832,-0.2889,0.9627,0.5871,0.1513,-1.1983,1.299,1.7792,1.411,1.8632,1.4009,-0.9208,0.392,106.532,17.3438
1,1,30.0,39,-0.1282,1.0047,0.0556,1.0126,0.2727,0.977,0.7555,0.2269,-0.5292,0.6383,1.2121,0.7143,1.3881,0.6683,0.0526,1.012,98.2126,72.2862
2,1,12.4733,18,0.6667,0.767,0.375,0.9574,0.4286,0.9376,0.6894,0.1862,0.0558,0.27,0.5185,0.2542,0.7229,0.2594,-0.1765,1.0146,98.6906,47.4834
3,1,30.0,36,-0.3333,0.9562,0.3939,0.9334,0.3333,0.9589,0.8146,0.0253,-0.5579,0.604,1.358,0.7336,1.503,0.591,-0.2571,0.9805,73.7272,2.279
4,1,33.7667,46,1.0,0.0,0.619,0.7949,-0.1579,1.0007,0.7333,0.0093,-0.7056,0.6904,1.45,0.788,1.5665,0.6643,-0.8667,0.5045,81.8394,1.0434
5,1,30.0,44,0.8636,0.5099,-0.2195,0.9877,-0.7368,0.6851,0.6608,0.1477,-0.4402,0.5607,1.1545,0.7138,1.2211,0.6535,-0.5349,0.8549,98.959,38.1383
6,1,30.0,31,0.4839,0.8896,0.0714,1.0157,0.52,0.8718,0.9692,0.0842,-0.5605,0.7124,1.517,0.8489,1.6296,0.6808,-0.3333,0.9589,62.273,4.3983
7,1,30.0,43,0.8605,0.5155,0.15,1.0013,-0.2432,0.9833,0.6964,0.0136,-0.5268,0.5368,1.1979,0.6222,1.3418,0.5416,0.4286,0.9145,86.1856,1.6694
8,0,34.5467,45,0.2444,0.9806,0.4146,0.9213,0.7297,0.6932,0.7709,0.0586,-0.6848,0.7748,1.3761,0.8056,1.5729,0.7744,-0.0909,1.0074,78.2714,5.9561
9,1,21.473300000000002,35,0.3714,0.942,0.0,1.016,-0.0345,1.0171,0.5939,0.1995,-0.193,0.3711,0.7473,0.4825,0.8942,0.437,-0.2941,0.9701,116.6634,50.7394
10,1,30.0,41,-0.6098,0.8024,-0.0526,1.012,-0.0857,1.0109,0.7429,0.1773,-0.5002,0.5874,1.1579,0.6692,1.3578,0.6237,0.15,1.0013,89.4029,39.0517
11,0,30.0,53,-0.1321,1.0007,0.36,0.9424,0.4468,0.9043,0.5667,0.2289,-0.3611,0.446,0.9609,0.4989,1.0371,0.4925,0.5385,0.8509,127.6841,66.4248
12,0,13.4667,19,0.4737,0.9048,0.0588,1.029,-0.0667,1.0328,0.6683,0.2952,0.0357,0.2479,0.5441,0.2612,0.7633,0.3131,-0.4444,0.9218,106.0895,41.4389
13,1,40.78,53,-0.3962,0.9269,0.2917,0.9666,-0.4884,0.883,0.7688,0.0805,-0.9553,0.8304,1.7947,0.9535,1.869,0.8431,-0.7692,0.6452,80.1266,20.8778
14,1,19.939999999999998,26,0.7692,0.6516,0.5833,0.8297,0.4545,0.9117,0.7521,0.0432,-0.1522,0.3632,0.7783,0.3593,1.019,0.3465,-0.44,0.9165,80.0276,4.6431
15,0,30.0,51,0.2549,0.9766,0.25,0.9785,0.1111,1.005,0.5791,0.1133,-0.436,0.4945,0.9328,0.5143,1.1293,0.5161,-0.12,1.0029,109.91,35.8861
